Alpha_Code,Common_Name,Scientific_Name,Study_Numbers
AGPL,American Golden-Plover,Pluvialis dominica,1
AMAV,American Avocet,Recurvirostra americana,1
AMCR,American Crow,Corvus brachyrhynchos,5
AMGO,American Goldfinch,Spinus tristis,2
AMKE,American Kestrel,Falco sparverius,9
AMPI,American Pipit,Anthus rubescens,2
AMRO,American Robin,Turdus migratorius,1
APFA,Aplomado Falcon,Falco femoralis,2
BAEA,Bald Eagle,Haliaeetus leucocephalus,11
BAIS,Baird's Sparrow,Centronyx bairdii,4
BARS,Barn Swallow,Hirundo rustica,11
BASA,Baird's Sandpiper,Calidris bairdii,1
BBMA,Black-billed Magpie,Pica hudsonia,5
BBSA,Buff-brestead Sandpiper,Calidris subruficollis,1
BCCH,Black-capped Chickadee,Poecile atricapillus,1
BHCO,Brown-headed Cowbird,Molothrus ater,10
BLGR,Blue Grosbeak,Passerina caerulea,1
BLJA,Blue Jay,Cyanocitta cristata,1
BOBO,Bobolink,Dolichonyx oryzivorus,1
BRBL,Brewer's Blackbird,Euphagus cyanocephalus,3
BRSP,Brewer's Sparrow,Spizella breweri,9
BRTH,Brown Thrasher,Toxostoma rufum,1
BTGR,Boat-tailed Grackle,Quiscalus major,1
BUOR,Bullock's Oriole,Icterus bullockii,2
BUOW,Burrowing Owl,Athene cunicularia,51
CACW,Cactus Wren,Campylorhynchus brunneicapillus,1
CAEG,Cattle Egret,Bubulcus ibis,1
CAKI,Cassin's Kingbird,Tyrannus vociferans,1
CANG,Canada Goose,Branta canadensis,1
CASP,Cassin's Sparrow,Peucaea cassinii,7
CBTH,Curve-billed Thrasher,Toxostoma curvirostre,3
CCLO,Chestnut-collared Longspur,Calcarius ornatus,5
CCSP,Clay-colored Sparrow,Spizella pallida,1
CHRA,Chihuahuan Raven,Corvus cryptoleucus,4
CHSP,Chipping Sparrow,Spizella passerina,3
CLSW,Cliff Swallow,Petrochelidon pyrrhonota,8
COGR,Common Grackle,Quiscalus quiscula,5
CONI,Common Nighthawk,Chordeiles minor,8
CORA,Common Raven,Corvus corax,1
DEJU,Dark-eyed Junco,Junco hyemalis,2
DICK,Dickcissel,Spiza americana,3
EAKI,Eastern Kingbird,Tyrannus tyrannus,6
EAME,Eastern Meadowlark,Sturnella magna,1
EUST,European Starling,Sturnus vulgaris,2
FEHA,Ferruginous Hawk,Buteo regalis,31
FISP,Field Sparrow,Spizella pusilla,1
GHOW,Great Horned Owl,Bubo virginianus,2
GOEA,Golden Eagle,Aquila chryseatos,17
GRCA,Gray Catbird,Dumatella carolinensis,1
GRSG,Greater Sage-Grouse,Centrocercus urophasianus,1
GRSP,Grasshopper Sparrow,Ammodrammus savannarum,12
GWTE,Green-winged Teal,Anas crecca,1
HOFI,House Finch,Haemorhous mexicanus,2
HOLA,Horned Lark,Eremophila alpestris,17
HOSP,House Sparrow,Passer domesticus,2
KILL,Killdeer,Charadrius vociferus,12
LALO,Lapland Longspur,Calcarius lapponicus,1
LARB,Lark Bunting,Calamospiza melanocorys,17
LASP,Lark Sparrow,Chondestes grammacus,9
LBCU,Long-billed Curlew,Numenius americanus,9
LBWO,Ladder-backed Woodpecker,Dryobates scalaris,2
LEGO,Lesser Goldfinch,Spinus psaltria,2
LEPC,Lesser Prairie-Chicken,ympanuchus pallidicinctus,1
LOSH,Loggerhead Shrike,Lanius ludovicianus,8
MALL,Mallard,Anas platyrhynchos,1
MERL,Merlin,Falco columbarius,2
MIKI,Mississippi Kite,Ictinia mississippiensis,2
MODO,Mourning Dove,Zenaida macroura,14
MOPL,Mountain Plover,Anarhynchus montanus,43
NOBO,Northern Bobwhite,Colinus virginianus,2
NOFL,Northern Flicker,Colaptes auratus,3
NOHA,Northern Harrier,Circus hudsonius,13
NOMO,Northern Mockingbird,Mimus polyglottos,4
NRWS,Northern Rough-winged Swallow,Stelgidopteryx serripennis,2
PRFA,Prairie Falcon,Falco mexicanus,11
RHWO,Red-headed Woodpecker,Melanerpes erythrocephalus,1
RLHA,Rough-legged Hawk,Buteo lagopus,7
RNEP,Ring-necked Pheasant,Phasianus colchicus,2
ROPI,Rock Pigeon (Feral Pigeon),Columba livia,4
RTHA,Red-tailed Hawk,Buteo jamaicensis,15
RWBL,Red-winged Blackbird,Agelaius phoeniceus,9
SAPH,Say's Phoebe,Sayornis saya,3
SATH,Sage Thrasher,Oreoscoptes montanus,4
SAVS,Savannah Sparrow,Passerculus sandwichensis,6
SCQU,Scaled Quail,Callipepla squamata,5
SNBU,Snow Bunting,Plectrophenax nivalis,1
SNGO,Snow Goose,Anser caerulescens,1
SOSP,Song Sparrow,Melospiza melodia,2
SPPI,Sprague's Pipit,Anthus spragueii,3
SPTO,Spotted Towhee,Pipilo maculatus,2
SSHA,Sharp-shinned Hawk,Accipiter striatus,1
STFL,Scissor-tailed Flycatcher,Tyrannus forficatus,2
STGR,Sharp-tailed Grouse,Tympanuchus phasianellus,2
SWHA,Swainson's Hawk,Buteo swainsoni,12
TBLO,Thick-billed Longspur,Rhyncophanes mccownii,6
TRSW,Tree Swallow,Tachycineta bicolor,2
TUVU,Turkey Vulture,Cathartes aura,7
UPSA,Upland Sandpiper,Bartramia longicauda,6
VESP,Vesper Sparrow,Pooecetes gramineus,12
VGSW,Violet-green Swallow,Tachycineta thalassina,2
WCSP,White-crowned Sparrow,Zonotrichia leucophrys,2
WEKI,Western Kingbird,Tyrannus verticalis,9
WEME,Western Meadowlark,Sturnella neglecta,15
WOSP,Worthern's Sparrow,Spizella wortheni,1
YEWA,Yellow Warbler,Setophaga petechia,1